,tensorflow,numpy,torch,os,keras,time,matplotlib,sys,cv2,google,re,urllib,pandas,logging,PyQt4,random,json,struct,replace(),requests
0,tensorflow.variable_scope(),numpy.array(),torch.autograd.Variable(),os.path.join(),keras.layers.Conv2D(),time.time(),matplotlib.pyplot.figure(),sys.exit(),cv2.imread(),google.protobuf.descriptor.FieldDescriptor(),re.search(),urllib.(),pandas.read_csv(),logging.info(),PyQt4.QtGui.QTableWidgetItem(),random.randint(),json.loads(),struct.pack(),replace(),requests.get()
1,tensorflow.placeholder(),numpy.zeros(),torch.nn.Conv2d(),os.path.exists(),keras.layers.Input(),time.sleep(),matplotlib.pyplot.show(),sys.stdout.write(),cv2.resize(),google.protobuf.descriptor.EnumValueDescriptor(),re.sub(),urllib.request.urlopen(),pandas.merge(),logging.getLogger(),PyQt4.QtGui.QFont(),random.choice(),json.load(),struct.unpack(),,requests.post()
2,tensorflow.reshape(),numpy.concatenate(),torch.nn.Sequential(),os.makedirs(),keras.models.Model(),time.strftime(),matplotlib.pyplot.plot(),sys.path.append(),cv2.imwrite(),google.protobuf.descriptor.Descriptor(),re.compile(),urllib.parse.urlparse(),pandas.DataFrame(),logging.debug(),PyQt4.QtGui.QLabel(),random.shuffle(),json.dumps(),struct.unpack_from(),,requests.Session()
3,tensorflow.get_variable(),numpy.mean(),torch.cat(),os.path.isfile(),keras.layers.BatchNormalization(),time.clock(),matplotlib.pyplot.savefig(),sys.stdout.flush(),cv2.cvtColor(),google.protobuf.reflection.GeneratedProtocolMessageType(),re.match(),urllib.urlretrieve(),pandas.Series(),logging.basicConfig(),PyQt4.QtGui.QCheckBox(),random.seed(),json.dump(),struct.calcsize(),,requests.request()
4,tensorflow.reduce_mean(),numpy.sum(),torch.nn.BatchNorm2d(),os.path.isdir(),keras.layers.Activation(),time.localtime(),matplotlib.pyplot.imshow(),sys.path.insert(),cv2.rectangle(),google.protobuf.descriptor.EnumDescriptor(),re.findall(),urllib.unquote(),pandas.concat(),logging.StreamHandler(),PyQt4.QtGui.QGridLayout(),random.random(),,struct.packet.toBytes(),,requests.delete()
5,tensorflow.concat(),numpy.asarray(),torch.nn.Linear(),os.mkdir(),keras.layers.(),time.mktime(),matplotlib.pyplot.xlabel(),sys.stderr.write(),cv2.imshow(),google.protobuf.descriptor._ParseOptions(),re.split(),urllib.request.urlretrieve(),pandas.to_datetime(),logging.error(),PyQt4.QtGui.QLineEdit(),random.uniform(),,,,requests.packages.urllib3.disable_warnings()
6,tensorflow.name_scope(),numpy.arange(),torch.nn.ReLU(),os.path.dirname(),keras.layers.Dense(),time.monotonic(),matplotlib.pyplot.title(),sys.platform.startswith(),cv2.waitKey(),google.protobuf.text_format.Merge(),re.escape(),urllib._parse_proxy(),pandas.Timedelta(),logging.Formatter(),PyQt4.QtCore.QObject.connect(),random.sample(),,,,requests.session()
7,tensorflow.logging.info(),numpy.sqrt(),torch.from_numpy(),os.listdir(),keras.layers.MaxPooling2D(),time.gmtime(),matplotlib.pyplot.ylabel(),sys.setdefaultencoding(),cv2.putText(),google.protobuf.descriptor.FileDescriptor(),re.finditer(),urllib.parse.urljoin(),pandas.date_range(),logging.FileHandler(),PyQt4.QtCore.SIGNAL(),random.rand(),,,,requests.get_company_data()
8,tensorflow.Session(),numpy.where(),torch.nn.functional.relu(),os.system(),keras.backend.cast(),time.ctime(),matplotlib.pyplot.close(),sys.exc_info(),cv2.VideoCapture(),google.protobuf.symbol_database.Default(),re.fullmatch(),urllib.__init__(),pandas.set_option(),logging.warning(),PyQt4.QtGui.QApplication.translate(),random.randrange(),,,,requests.get_expanded_text()
9,tensorflow.cast(),numpy.expand_dims(),torch.save(),os.path.basename(),keras.layers.format(),time.abs_timedelta(),matplotlib.pyplot.legend(),sys.setrecursionlimit(),cv2.polylines(),google.cloud.language.types.Document(),,urllib.URLError(),pandas.read_sql(),logging.warn(),PyQt4.QtGui.QFrame(),random.SystemRandom(),,,,requests.get_sentiment()
